P1,P2,P3,P4,P5,P6,Total Power,Power Loss,Power Demand,Total Cost(Rs/h)
408.8271,144.7264,233.4945,107.566,135.2204,65.7571,1095.5915,9.4445,1086.147,13098.36
409.0684,144.9046,233.6821,107.7632,135.4098,65.9993,1096.8274,9.4594,1087.368,13114.18
409.4199,145.1642,233.9554,108.0505,135.6859,66.3523,1098.6282,9.4811,1089.147,13137.25
409.6833,145.3588,234.1602,108.2657,135.8927,66.6168,1099.9775,9.4974,1090.48,13154.53
410.4356,145.9144,234.745,108.8806,136.4834,67.3722,1103.8312,9.5442,1094.287,13203.93
410.6255,146.0547,234.8927,109.0358,136.6325,67.5629,1104.8041,9.556,1095.248,13216.4
411.2598,146.5232,235.3859,109.5542,137.1305,68.1999,1108.0535,9.5955,1098.458,13258.1
411.3665,146.602,235.4688,109.6415,137.2143,68.3071,1108.6002,9.6022,1098.998,13265.11
411.5845,146.763,235.6383,109.8196,137.3854,68.526,1109.7168,9.6158,1100.101,13279.45
412.6489,147.5492,236.4658,110.6897,138.2208,69.5951,1115.1695,9.6824,1105.487,13349.5
413.1746,147.9374,236.8745,111.1194,138.6333,70.1232,1117.8624,9.7154,1108.147,13384.12
413.5654,148.226,237.1783,111.4388,138.9399,70.5157,1119.8641,9.7399,1110.124,13409.87
414.5713,148.969,237.9604,112.2613,139.7291,71.5263,1125.0174,9.8034,1115.214,13476.22
415.159,149.403,238.4172,112.7417,140.1901,72.1167,1128.0277,9.8405,1118.187,13515.01
415.6847,149.7913,238.826,113.1715,140.6024,72.645,1130.7209,9.8739,1120.847,13549.73
416.64,150.4969,239.5686,113.9526,141.3516,73.6049,1135.6146,9.9346,1125.68,13612.88
417.1296,150.8585,239.9493,114.353,141.7355,74.097,1138.1229,9.9658,1128.157,13645.27
417.523,151.1491,240.2551,114.6746,142.0439,74.4923,1140.138,9.9909,1130.217,13671.31
418.5114,151.8791,241.0235,115.4829,142.8187,75.4857,1145.2013,10.0542,1135.147,13736.78
419.6008,152.6837,241.8705,116.3739,143.6725,76.5808,1150.7822,10.1242,1140.658,13809.02
420.5056,153.352,242.574,117.1139,144.3815,77.4905,1155.4175,10.1825,1145.235,13869.09
421.9135,154.3918,243.6685,118.2654,145.4844,78.9061,1162.6297,10.2737,1152.356,13962.67
422.0831,154.5171,243.8004,118.4042,145.6173,79.0766,1163.4987,10.2847,1153.224,13973.96
422.0831,154.5171,243.8004,118.4042,145.6173,79.0766,1163.4987,10.3104,1155.214,14000.27
423.2694,155.3933,244.7227,119.3746,146.5463,80.2696,1169.5759,10.362,1159.214,14052.94
423.4671,155.5393,244.8764,119.5364,146.7011,80.4685,1170.5888,10.3749,1160.214,14066.11
425.0569,156.7135,246.1124,120.837,147.9458,82.0675,1178.7331,10.479,1168.254,14172.13
425.8921,157.3304,246.7618,121.5204,148.5995,82.9078,1183.012,10.534,1172.478,14227.91
426.0462,157.4442,246.8815,121.6465,148.7201,83.0628,1183.8013,10.5441,1173.257,14238.2
427.0132,158.1584,247.6334,122.4377,149.4768,84.0357,1188.7552,10.6083,1178.147,14302.85
427.2888,158.362,247.8477,122.6633,149.6925,84.313,1190.1673,10.6262,1179.541,14321.3
427.4878,158.5089,248.0023,122.8261,149.8481,84.5132,1191.1864,10.6394,1180.547,14334.61
429.2018,159.7749,249.3349,124.2288,151.1889,86.2381,1199.9674,10.7534,1189.214,14449.43
430.3752,160.6415,250.2472,125.1892,152.1066,87.4191,1205.9788,10.8318,1195.147,14528.16
434.3727,163.594,253.3552,128.4616,155.2311,91.4439,1226.4585,11.1014,1215.357,14797.11
434.927,164.0034,253.7861,128.9154,155.6641,92.0021,1229.2981,11.1391,1218.159,14834.5
436.3094,165.0244,254.8609,130.0473,156.7439,93.3944,1236.3803,11.2334,1225.147,14927.83
438.4599,166.6128,256.5329,131.8084,158.423,95.5609,1247.3979,11.381,1236.017,15073.31
439.3647,167.281,257.2364,132.5495,159.1293,96.4726,1252.0335,11.4434,1240.59,15134.61
441.3428,168.742,258.7743,134.1697,160.6728,98.466,1262.1676,11.5806,1250.587,15268.84
442.3931,169.5178,259.5909,135.0301,161.4922,99.5247,1267.5488,11.6538,1255.895,15340.24
442.5862,169.6604,259.7411,135.1883,161.6429,99.7194,1268.5383,11.6673,1256.871,15353.37
443.0612,170.0112,260.1104,135.5774,162.0133,100.1981,1270.9716,11.7006,1259.271,15385.69
443.6024,170.4109,260.5312,136.0208,162.4354,100.7438,1273.7445,11.7385,1262.006,15422.53
444.4835,171.0617,261.2162,136.7427,163.1224,101.632,1278.2585,11.8005,1266.458,15482.56
445.1027,171.519,261.6976,137.25,163.6051,102.2564,1281.4308,11.8438,1269.587,15524.78
445.6533,171.9257,262.1257,137.7012,164.0343,102.8116,1284.2518,11.8828,1272.369,15562.34
446.1993,172.329,262.5502,138.1486,164.46,103.3623,1287.0494,11.9214,1275.128,15599.62
447.0822,172.9811,263.2367,138.8721,165.1481,104.2527,1291.5729,11.9839,1279.589,15659.94
447.8803,173.5705,263.8572,139.5261,165.7699,105.0576,1295.6616,12.0406,1283.621,15714.51
448.4196,173.9689,264.2765,139.9682,166.1901,105.6017,1298.425,12.079,1286.346,15751.41
449.1997,174.545,264.883,140.6075,166.7978,106.3886,1302.4216,12.1346,1290.287,15804.83
449.6114,174.8491,265.2032,140.945,167.1185,106.804,1304.5312,12.1642,1292.367,15833.04
450.0441,175.1687,265.5396,141.2997,167.4555,107.2405,107.2405,12.1951,1294.553,15862.7
450.889,175.7927,266.1965,141.9922,168.1134,108.093,1311.0768,12.2558,1298.821,15920.65
451.5999,176.3177,266.7492,142.5749,168.6669,108.8103,1314.7189,12.3069,1302.412,15969.46
452.3751,176.8903,267.3519,143.2104,169.2704,109.5926,1318.6907,12.3627,1306.328,16022.72
453.1036,177.4284,267.9183,143.8077,169.8375,110.3279,1322.4234,12.4154,1310.008,16072.82
453.9042,178.0197,268.5408,144.4641,170.4606,111.136,1326.5254,12.4734,1314.052,16127.91
454.7308,178.6302,269.1835,145.1418,171.1038,111.9704,1330.7605,12.5335,1318.227,16184.84
455.5072,179.2036,269.7871,145.7784,171.7078,112.7541,1334.7382,12.5902,1322.148,16238.36
456.4684,179.9136,270.5345,146.5667,172.4555,113.7247,1339.6634,12.6604,1327.003,16304.68
457.31,180.5351,271.1888,147.2568,173.11,114.5744,1343.9751,12.7221,1331.253,16362.8
458.2283,181.2134,271.9029,148.01,173.8241,115.5018,1348.6805,12.7895,1335.891,16426.28
458.4982,181.4128,272.1127,148.2313,174.0339,115.7744,1350.0633,12.8093,1337.254,16444.95
459.1024,181.859,272.5825,148.7269,174.5036,116.3846,1353.159,12.854,1340.305,16486.76
460.0284,182.5429,273.3024,149.4864,175.2234,117.3199,1357.9034,12.9224,1344.981,16550.89
461.4975,184.0642,274.6495,150,175.3256,116.9054,1362.4422,13.0212,1349.421,16611.95
461.8734,184.3429,274.9423,150,175.6152,117.2806,1364.0544,13.0484,1351.006,16633.72
462.401,184.7341,275.3532,150,176.0217,117.8072,1366.3172,13.0862,1353.231,16664.31
463.6078,185.6289,276.2931,150,176.9511,119.0117,1371.4926,13.1736,1358.319,16734.3
464.9482,186.8002,276.6247,150,177.9666,120,1376.3397,13.2587,1363.081,16799.9
466.7207,188.1173,277.9934,150,179.3305,120,1382.1619,13.3979,1368.764,16878.42
467.8989,188.9929,278.9032,150,180.2369,120,1386.0319,13.4909,1372.541,16930.68
469.0992,189.8849,279.83,150,181.1599,120,1389.974,13.586,1376.388,16983.98
470.2273,190.7233,280.701,150,182.0272,120,1393.6788,13.6758,1380.003,17034.14
471.735,191.8438,281.8652,150,183.1861,120,1398.6301,13.7961,1384.834,17101.26
472.8067,192.6402,282.6926,150,184.0095,120,1402.149,13.882,1388.267,17149.02
474.0811,193.5874,283.6766,150,184.9886,120,1406.3337,13.9847,1392.349,17205.88
