P1,P2,P3,Total Power,Power Loss,Power Demand,Total Cost(Rs/h)
40.7612,45.1649,58.1639,144.09,0.289982,143.8,1174062
40.9789,45.4061,58.4745,144.8595,0.2914748,144.568,1186630
41.378,45.8483,59.044,146.2703,0.2942146,145.976,1209846
41.4763,45.9572,59.1843,146.6178,0.2948904,146.323,1215601
41.8853,46.4104,59.768,148.0637,0.2977033,147.766,1239684
41.9301,46.46,59.8319,148.222,0.2980115,147.924,1242335
42.0401,46.5819,59.9888,148.6108,0.2987686,148.312,1248858
42.2359,46.7989,60.2683,149.3031,0.3001178,149.003,1260517
42.7668,47.3871,61.0259,151.1798,0.3037793,150.876,1292392
42.8649,47.4958,61.1658,151.5265,0.3044565,151.222,1298323
43.114,47.7718,61.5213,152.4071,0.3061,152.101,1313453.77
43.1849,47.8503,61.6225,152.6577,0.3066,152.351,1317773.11
43.2648,47.9389,61.7365,152.9402,0.3072,152.633,1322653.84
43.4295,48.1213,61.9715,153.5223,0.3083,153.214,1332737.97
43.5914,48.3007,62.2025,154.0946,0.3094,153.785,1342685.86
43.7501,48.4765,62.429,154.6556,0.3105,154.345,1352478.04
43.8944,48.6364,62.6349,155.1657,0.3115,154.854,1361409.32
43.9788,48.73,62.7554,155.4642,0.3121,155.152,1366651.88
44.2146,48.9912,63.0919,156.2977,0.3137,155.984,1381342.18
44.2855,49.0698,63.193,156.5483,0.3142,156.234,1385771.68
44.3567,49.1486,63.2945,156.7998,0.3147,156.485,1390226.04
44.7824,49.6203,63.9021,158.3048,0.3177,157.987,1417030.58
44.9451,49.8006,64.1342,158.8799,0.3188,158.561,1427341.75
44.9621,49.8194,64.1585,158.94,0.3189,158.621,1428421.73
45.1613,50.0402,64.4429,159.6444,0.3203,159.324,1441105.94
45.277,50.1683,64.6079,160.0532,0.3211,159.732,1448493.19
45.3844,50.2873,64.7612,160.4329,0.3219,160.111,1455372.29
45.5366,50.456,64.9784,160.971,0.3229,160.648,1465147.11
45.86,50.8143,65.4399,162.1142,0.3252,161.789,1486024.97
45.9352,50.8975,65.5471,162.3798,0.3257,162.054,1490895.05
46.0573,51.0329,65.7214,162.8116,0.3266,162.485,1498832.83
46.1732,51.1613,65.5568,162.8913,0.3274,162.894,1506384.94
46.199,51.1899,65.9237,163.3126,0.3276,162.985,1508067.82
46.3751,51.3849,66.1748,163.9348,0.3288,163.606,1519577.17
46.4831,51.5046,66.3289,164.3166,0.3296,163.987,1526660.12
46.5216,51.5473,66.384,164.4529,0.3298,164.123,1529192.41
46.9082,51.9757,66.9357,165.8196,0.3325,165.487,1554705.87
47.2192,52.3202,67.3794,166.9188,0.3347,166.584,1575378.33
47.3411,52.4552,67.5533,167.3496,0.3356,167.014,583518.74
47.4071,52.5284,67.6476,167.5831,0.33607,167.247,1587938.47
47.5894,52.7304,67.9076,168.2274,0.3373,167.89,1600167.38
47.7115,52.8657,68.082,168.6592,0.3382,168.321,1608390.63
48.0647,53.257,68.586,169.9077,0.3406,169.567,1632282.21
48.2481,53.4602,68.8477,170.556,0.3419,170.214,1644757.69
48.3326,53.5538,68.9682,170.8546,0.3425,170.512,1650519.72
48.4295,53.6612,69.1065,171.1972,0.3432,170.845,1657144.94
48.4584,53.6932,69.1478,171.2994,0.3434,170.956,1659123.46
49.6563,53.9125,69.4301,172.9989,0.3448,171.654,1672694.38
48.9182,54.2026,69.8039,172.9247,0.3467,172.578,1690744.37
48.9485,54.2363,69.8472,173.032,0.3469,172.685,1692840.84
48.9964,54.2893,69.9155,173.2012,0.3472,172.854,1696154.73
49.0335,54.3305,69.9685,173.3325,0.3475,172.985,1698725.71
49.0366,54.3339,69.973,173.3435,0.3473,172.996,1698941.68
49.3047,54.6301,70,173.9348,0.3487,173.586,1710556.46
49.9075,55.298,70,175.2055,0.3514,174.854,1735741.87
50.0882,55.4981,70,175.5863,0.3523,175.234,743349.16
50.5703,56.0322,70,176.6025,0.3554,176.248,1763783.12
51.3357,56.8803,70,178.216,0.3579,177.858,1796629.65
51.5729,57.1431,70,178.716,0.35901,178.357,1806910.2
51.8724,57.475,70,179.3474,0.3603,178.987,1819957.35
51.9903,57.6056,70,179.5959,0.3609,179.235,1825114.1
52.6107,58.293,70,180.9037,0.3637,180.54,1852442.28
52.7291,58.4241,70,181.1532,0.3642,180.789,1857693.46
53.6776,59.475,70,183.1526,0.3685,182.784,1900192.2
53.9971,59.8289,70,183.826,0.37002,183.456,1914678.16
54.2091,60.0639,70,184.273,0.3709,183.902,1924339.81
54.4083,60.2846,70,184.6929,0.3719,184.321,1933451.06
54.4259,60.3041,70,184.73,0.3719,184.358,1934257.24
55.0016,60.942,70,185.9436,0.3746,185.569,1960787.12
55.942,61.9839,70,187.9259,0.3789,187.547,2004720.4
56.4684,62.567,70,189.0354,0.3813,188.654,2029633
56.8934,63.0379,70,189.9313,0.3832,189.548,2049922.4
57.4192,63.6205,70,191.0397,0.3857,190.654,2075233.71
57.5856,63.8048,70,191.3904,0.3864,191.004,2083292.13
57.6955,63.9265,70,191.622,0.3869,191.235,2088623.46
58.3292,64.6287,70,192.9579,0.3898,192.568,2119586.69
58.6511,64.9853,70,193.6364,0.3913,193.245,2129693.86
59.0804,65.4609,70,194.5413,0.3932,194.148,2156725.4
59.7807,66.2369,70,196.0176,0.3966,195.621,2191777.12
60.0151,66.4966,70,196.5117,0.3976,196.114,2203600.88
60.4402,66.9675,70,197.4077,0.3997,197.008,2225159.97
61.15,67.7539,70,198.9039,0.403,198.501,2261503.4
61.3992,68.03,70,199.4292,0.4042,199.025,2274359.51
62.0867,68.7917,70,200.8784,0.4073,200.471,2310107.66
62.7062,69.478,70,202.1842,0.4013,201.774,2342661.55
63.1973,70.0222,70,203.2195,0.1425,202.807,2368699.53
63.5525,70.4157,70,203.9682,0.4142,203.554,2387655.13
64.1359,71.0621,70,205.198,0.4169,204.781,2419021.62
64.2928,71.2359,70,205.5287,0.4177,205.111,2427506.51
64.8776,71.8838,70,206.7614,0.4204,206.341,2459314.68
65.4006,72.4633,70,207.8639,0.4229,207.441,2488005.02
65.723,72.8204,70,208.5434,0.4224,208.119,2505803.46
66.4561,73.6327,70,210.0888,0.4279,209.661,2546609.03
66.8066,74.021,70,210.8276,0.4296,210.398,2566271.99
67.3191,74.5888,70,211.9079,0.432,211.476,2595219.01
67.7337,75.0482,70,212.7819,0.434,212.348,2618796.3
68.3851,75.7699,70,214.155,0.4371,213.718,2656131.05
68.6947,76.1128,70,214.8075,0.4385,214.369,2673997.13
69.0964,76.558,70,215.6544,0.4404,215.214,2697307.71
69.8282,77.3687,70,217.1969,0.4439,216.753,2740112.64
69.9861,77.5436,70,217.5297,0.4447,217.085,2749405.86
70.5942,78.2174,70,218.8116,0.4476,218.364,2785403.32
71.0797,78.7552,70,219.8349,0.4499,219.385,2814362.96
71.568,79.2962,70,220.8642,0.4523,220.412,2843693.04
72.1191,79.9069,70,222.026,0.4549,221.571,2877037.04
72.7799,80,70,222.7799,0.4558,222.324,2898871.1
74.1079,80,70,224.1079,0.4569,223.651,2937895.95
75.3489,80,70,225.3489,0.4579,224.891,2975000.12
75.8964,80,70,225.8964,0.4583,225.438,2991563.74
76.8382,80,70,226.8382,0.4591,226.379,3020338.59
77.4627,80,70,227.4627,0.4596,227.003,3039615.59
79.078,80,70,229.078,0.461,228.617,3090200.17
79.9337,80,70,229.9337,0.4617,229.472,3117419.88
81.2038,80,70,231.2038,0.4627,230.741,3158359.82
81.462,80,70,231.462,0.463,230.999,3166762.26
82.2026,80,70,232.2026,0.4636,231.739,3191010.3
82.9323,80,70,232.9323,0.4642,232.468,3215112.5
84.0462,80,70,234.0462,0.4652,233.581,3252321.4
84.866,80,70,234.866,0.465,234.41,3280358.49
84.91,80,70,234.91,0.465,234.434,3281174.29
84.935,80,70,234.935,0.465,234.469,3282364.4
84.969,80,70,234.969,0.465,234.503,3283520.97
85,80,70,235,0.466,234.533,3284541.87
